FID_,ADMIN_NAME,CNTRY_NAME,ORIG_FID,POINT_X,POINT_Y
,Al Madinah,Saudi Arabia,0,42.096100260800000,24.611382168799999
,Al Madinah,Saudi Arabia,0,42.098473177599999,24.586800058400001
,Al Madinah,Saudi Arabia,0,42.087491208000003,24.535691068399998
,Al Madinah,Saudi Arabia,0,42.072773256600001,24.505554103100000
,Al Madinah,Saudi Arabia,0,42.042563201100002,24.468809180600001
,Al Madinah,Saudi Arabia,0,42.007500191200002,24.431800060499999
,Al Madinah,Saudi Arabia,0,41.998463158500002,24.408882093100001
,Al Madinah,Saudi Arabia,0,41.985263169699998,24.189718123199999
,Al Madinah,Saudi Arabia,0,41.983891219800000,24.151664115100001
,Al Madinah,Saudi Arabia,0,41.981373128400001,24.038327037500000
,Al Madinah,Saudi Arabia,0,41.986354158200001,23.949118106499999
,Al Madinah,Saudi Arabia,0,41.885827143299998,23.966664112099998
,Al Madinah,Saudi Arabia,0,41.863882147299996,23.969718142300000
,Al Madinah,Saudi Arabia,0,41.839718126199998,23.971945046399998
,Al Madinah,Saudi Arabia,0,41.815282196100000,23.970554153300000
,Al Madinah,Saudi Arabia,0,41.792773265599998,23.966109062400001
,Al Madinah,Saudi Arabia,0,41.768054194900003,23.957218042400001
,Al Madinah,Saudi Arabia,0,41.745827231699998,23.944445027800001
,Al Madinah,Saudi Arabia,0,41.731382195000002,23.924164174800001
,Al Madinah,Saudi Arabia,0,41.728054244100001,23.892364072300001
,Al Madinah,Saudi Arabia,0,41.742491234200003,23.859718067999999
,Al Madinah,Saudi Arabia,0,41.754436284400001,23.837773072000001
,Al Madinah,Saudi Arabia,0,41.763054222000001,23.805554041899999
,Al Madinah,Saudi Arabia,0,41.767491266299999,23.775273075499999
,Al Madinah,Saudi Arabia,0,41.767218183899999,23.752218147899999
,Al Madinah,Saudi Arabia,0,41.765827123199998,23.729164058399999
,Al Madinah,Saudi Arabia,0,41.761382200000000,23.709164166800001
,Al Madinah,Saudi Arabia,0,41.754163202000001,23.689164107600000
,Al Madinah,Saudi Arabia,0,41.745827231699998,23.670000059400000
,Al Madinah,Saudi Arabia,0,41.732500173200002,23.650554044000000
,Al Madinah,Saudi Arabia,0,41.715000268099999,23.629164097600000
